req_id,request,table_info,external_knowledge,domain_knowledge,gold_query,difficulty,type,nested_type,rephrased_request,rephrased_request_gpt-3.5-turbo-0125_t0.4,rephrased_request_gpt-4o-2024-05-13_t0.2
13,"Give me all the SNe that were first detected between december first 2022 and september first 2023. Return the probability class, the last and the first detection date and the oids of the objects.","['object', 'probability']","
-- mjd date for December = 59914.0
-- mjd date for September = 60217.0","
-- Super Nova (SNe) is a large explosion that takes place at the end of a star's life cycle
","
SELECT
    object.oid, probability.class_name, object.lastmjd, object.firstmjd
FROM
    object INNER JOIN
    probability
    ON object.oid = probability.oid
WHERE
    probability.classifier_name='lc_classifier'
    AND probability.class_name IN ('SNIa', 'SNIbc', 'SNII', 'SLSN')
    AND probability.ranking = 1
    AND object.firstmjd < 60217.0
    AND object.firstmjd > 59914.0
",simple,object,none,,,
10,"Get the object identifiers and probabilities in the light curve classifier for objects classified in the light curve classifier as SNIa with ranking=1 and CV/Nova with ranking=2, where the difference between the probabilities at each ranking is lower than 0.1. Return the oids, and the probability for each class, naming the columns 'SN_prob' and 'CV_prob' respectively.","['probability', 'object']",0,0,"
SELECT
  sq1.oid, sq1.probability as SN_prob, sq2.probability as CV_prob
FROM
  (
SELECT
    object.oid, probability.probability
FROM
    object INNER JOIN
    probability
    ON object.oid = probability.oid
WHERE
    probability.classifier_name='lc_classifier'
    AND probability.class_name='SNIa'
    AND probability.ranking = 1
) AS sq1
  INNER JOIN (
SELECT
    object.oid, probability.probability
FROM
    object INNER JOIN
    probability
    ON object.oid = probability.oid
WHERE
    probability.classifier_name='lc_classifier'
    AND probability.class_name='CV/Nova'
    AND probability.ranking = 2
) as sq2
  ON sq1.oid = sq2.oid
WHERE
  sq1.probability - sq2.probability < 0.1
",medium,object,simple,,,
15,"Get the object identifiers, probabilities in the stamp classifier and light curves (only detections) for objects whose highest probability in the stamp classifier is obtained for class SN, that had their first detection in the first 2 days of september, and that qualify as fast risers. Also, return the filter ID and candid of the detections, and filter ID of magstat as 'magstat_fid', with the initial rise estimate. Order the results by the oid.","['object', 'probability', 'detection', 'magstat']","-- mjd date for September 01 = 60188.0
-- mjd date for September 02 = 60189.0","
-- A fast riser is defined as an object whose first detection is brighter by at least a rate of 0.25 magnitudes/day than the last non-detection obtained before the first detection (both first detection and last non-detection are in the same filter)
","
SELECT
    sq.oid, sq.probability, sq.candid, sq.fid, sq.mjd,
    magstat.fid as magstat_fid, magstat.dmdt_first
FROM
  (
SELECT
  detection.oid, detection.candid, detection.fid, detection.mjd,
  obj_oids.probability
FROM
  (
SELECT
    object.oid, probability.probability
FROM
    object INNER JOIN
    probability
    ON object.oid = probability.oid
WHERE
    probability.classifier_name='stamp_classifier'
    AND probability.class_name='SN'
    AND probability.ranking=1
    AND object.firstmjd > 60188.0
    AND object.firstmjd < 60189.0
) as obj_oids
    INNER JOIN
    detection ON detection.oid = obj_oids.oid
) AS sq
  INNER JOIN magstat
  ON sq.oid = magstat.oid
WHERE
  magstat.dmdt_first < -0.25
ORDER BY oid
",advanced,other,multi,,,
4,"Get the object identifier, candidate identifier, magnitudes, magnitude errors, initial rise estimate, and band identifiers as a function of time of the objects classified as SN II in the year 2019-2022, with probability larger than 0.6, initial rise rate greater than 0.5 mag/day in ZTF g and r-band and number of detections greater than 50.","['object', 'probability', 'magstat', 'detection']",0,0,"
SELECT
  sq.oid, sq.fid, sq.dmdt_first,
  detection.candid, detection.fid as f_id,detection.magpsf, detection.sigmapsf_corr, detection.sigmapsf_corr_ext
FROM
  (
SELECT
  magstat.oid, magstat.fid, magstat.dmdt_first
FROM
  (
SELECT
    object.oid
FROM
    object INNER JOIN
    probability
    ON object.oid = probability.oid
WHERE
    probability.classifier_name='lc_classifier'
    AND probability.class_name='SNII'
    AND probability.probability > 0.6
    AND object.ndet > 50
) as obj_oids
    INNER JOIN
    magstat ON magstat.oid = obj_oids.oid
WHERE
  magstat.dmdt_first < -0.5
  AND (magstat.fid = 1 OR magstat.fid = 2)
) AS sq
  INNER JOIN detection
  ON sq.oid = detection.oid
WHERE
  detection.mjd > 58484.0
  AND detection.mjd < 59944.0
ORDER BY oid
",advanced,other,multi,,,
25,"Query objects within 10 degress of the next postitions: ('source_1', 160.18301441363647, 33.0164673528409),
('source_2', 174.21524897555543, 44.83789535222221), and with their first detection the first 7 days of February, with SN probabilities > 0.4, and ranking=1 in the stamp classifier","['probability', 'object']","-- mjd date for February 01 = 59976.0
-- mjd date for February 07 = 59982.0",0,"
WITH catalog ( source_id, ra, dec) AS (
    VALUES
        ('source_1', 160.18301441363647, 33.0164673528409),
('source_2', 174.21524897555543, 44.83789535222221)
),
sn (oid, classifier_name, class_name, probability, ranking) AS (
    SELECT
        o.oid, p.classifier_name, p.class_name, p.probability, p.ranking
    FROM
        probability p
    INNER JOIN
        object o
    ON
        o.oid=p.oid
    WHERE
        p.classifier_name='stamp_classifier'
        AND p.class_name IN ('SN')
        AND p.ranking=1
        AND p.probability > 0.4
        AND o.firstmjd > 59976.0
        AND o.firstmjd < 59982.0
)

SELECT
    *
FROM object o INNER JOIN sn ON sn.oid=o.oid, catalog c
    /*
     * It is REALLY important to first use the catalog then the object ra,dec for speed. The radius is in degrees.
     */
WHERE
    q3c_join(c.ra, c.dec,o.meanra, o.meandec, 10)
    AND o.firstmjd > 59976.0
    AND o.firstmjd < 59982.0
ORDER BY
    c.source_id
",advanced,spatial,simple,,,
7,"Get the object identifiers and probabilities in the stamp classifier for objects whose most likely class according to the stamp classifier is SN, and that had their first detection in January of 2023","['probability', 'object']","-- mjd date for the start of January = 59945.0
-- mjd date for the end of January = 59975.0",0,"
SELECT
    object.oid, probability.probability
FROM
    probability
    INNER JOIN
    object
    ON object.oid=probability.oid
WHERE
    probability.classifier_name='stamp_classifier'
    AND probability.class_name='SN'
    AND probability.ranking=1
    AND object.firstmjd > 59945.0
    AND object.firstmjd < 59975.0
    AND object.ndet > 0
",simple,object,none,,,
2,Give me the objects classified as YSO by their lightcurves (with probability higher than 0.7),['probability'],0,0,"
SELECT
    oid, probability
FROM
    probability
WHERE
    classifier_name='lc_classifier'
    AND class_name='YSO'
    AND ranking=1
    AND probability > 0.7
",simple,object,none,,,
3,Give me the objects classified as YSO by the lc classifier (prob higher than 0.7) that were last detected last June,"['object', 'probability']","
-- last june in mjd date: [start=60096.0, end=60125.0]",0,"
SELECT
    *
FROM
    probability
WHERE
    classifier_name='lc_classifier'
    AND class_name='YSO'
    AND ranking=1
    AND probability > 0.7
    AND oid IN
(
SELECT
  oid
FROM
  object
WHERE
  lastmjd > 60096.0
  AND lastmjd < 60125.0
)
",simple,object,simple,,,
23,"I want the objects most likely to be either ""SNIa"", ""SNIbc"", ""SNII"", ""SLSN"" classified by the lc_classifier with a probability higher than 0.2, with all the classification probabilites.","['probability', 'object']","
-- it is important to return all the probabilites (different rankings)
",0,"
SELECT
    *
FROM
    object INNER JOIN probability
    ON object.oid=probability.oid
WHERE
    probability.classifier_name='lc_classifier'
    AND object.oid IN
(
SELECT
    oid
FROM
    probability
WHERE
    classifier_name='lc_classifier'
    AND class_name IN ('SNIa', 'SNIbc', 'SNII', 'SLSN')
    AND ranking=1
    AND probability > 0.2
)
",simple,object,simple,,,
32,"Given a list of oids of asteroids candidates, write a SQL script that returns data from the ss_ztf table with a positive ssdistnr value. Order the results by oid.",['ss_ztf'],"-- consider the list of objects identifiers: ['ZTF21aaqosfj' 'ZTF21aaqosfm' 'ZTF21aaqosfs' 'ZTF21aaqosff'
 'ZTF21aaqoski' 'ZTF21aaqoskz' 'ZTF21aaqosfo' 'ZTF21aaqosly'
 'ZTF21aaqosgi' 'ZTF21aaqospe']",0,"
SELECT *
FROM ss_ztf
WHERE
oid in ('ZTF21aaqosfj','ZTF21aaqosfm','ZTF21aaqosfs','ZTF21aaqosff','ZTF21aaqoski','ZTF21aaqoskz','ZTF21aaqosfo','ZTF21aaqosly','ZTF21aaqosgi','ZTF21aaqospe')
AND ssdistnr > 0
ORDER BY oid
",simple,object,none,,,
